"","Rank","Tomatometer","Title","No. of Reviews"
"1",1,"99%","Metropolis (1927)",116
"2",2,"100%","The Adventures of Robin Hood (1938)",44
"3",3,"98%","King Kong (1933)",54
"4",4,"100%","The Treasure of the Sierra Madre (1948)",44
"5",5,"100%","Seven Samurai (Shichinin no Samurai) (1954)",57
"6",6,"99%","Lawrence of Arabia (1962)",70
"7",7,"98%","Up (2009)",280
"8",8,"99%","Apocalypse Now (1979)",75
"9",9,"94%","The Dark Knight (2008)",316
"10",10,"98%","The Hurt Locker (2009)",252
"11",11,"98%","The 39 Steps (1935)",43
"12",12,"98%","Jaws (1975)",66
"13",13,"95%","Star Trek (2009)",329
"14",14,"96%","Harry Potter and the Deathly Hallows - Part 2 (2011)",306
"15",15,"100%","The Searchers (1956)",41
"16",16,"96%","WALL-E (2008)",243
"17",17,"96%","The LEGO Movie (2014)",221
"18",18,"98%","The Wild Bunch (1969)",48
"19",19,"98%","The French Connection (1971)",54
"20",20,"100%","The Terminator (1984)",51
"21",21,"98%","Kumonosu J̫ (Throne of Blood) (Macbeth) (1957)",42
"22",22,"98%","Badlands (1974)",50
"23",23,"96%","Star Wars: Episode V - The Empire Strikes Back (1980)",75
"24",24,"98%","Aliens (1986)",61
"25",25,"96%","True Grit (2010)",259
"26",26,"92%","Marvel's The Avengers (2012)",311
"27",27,"98%","Once Upon a Time in the West (1968)",54
"28",28,"98%","Aguirre, der Zorn Gottes (Aguirre, the Wrath of God) (1972)",42
"29",29,"96%","The Lord of the Rings: The Two Towers (2002)",247
"30",30,"98%","Dr. No (1962)",47
"31",31,"98%","Who Framed Roger Rabbit (1988)",60
"32",32,"97%","Chicken Run (2000)",165
"33",33,"92%","Skyfall (2012)",295
"34",34,"96%","Spartacus (1960)",52
"35",35,"95%","The Lord of the Rings: The Return of the King (2003)",261
"36",36,"97%","The Princess Bride (1987)",63
"37",37,"95%","Casino Royale (2006)",222
"38",38,"97%","Ghostbusters (1984)",64
"39",39,"98%","A Fistful of Dollars (Per un Pugno di Dollari) (1964)",43
"40",40,"93%","Iron Man (2008)",244
"41",41,"93%","Gojira (1956)",69
"42",42,"97%","'71 (2015)",111
"43",43,"96%","Goldfinger (1964)",56
"44",44,"93%","Looper (2012)",246
"45",45,"96%","Back to the Future (1985)",68
"46",46,"94%","The Bourne Ultimatum (2007)",239
"47",47,"93%","No Country for Old Men (2007)",265
"48",48,"97%","Crouching Tiger, Hidden Dragon (2001)",150
"49",49,"97%","Babe (1995)",68
"50",50,"98%","The Right Stuff (1983)",40
"51",51,"94%","Paths of Glory (1957)",52
"52",52,"94%","The Bridge on the River Kwai (1957)",52
"53",53,"93%","Jurassic Park (1993)",112
"54",54,"96%","Catch Me If You Can (2002)",194
"55",55,"94%","Spider-Man 2 (2004)",253
"56",56,"93%","Star Wars: Episode IV - A New Hope (1977)",71
"57",57,"96%","From Russia With Love (1964)",49
"58",58,"96%","Close Encounters of the Third Kind (1977)",46
"59",59,"96%","The Fugitive (1993)",70
"60",60,"93%","All Is Lost (2013)",215
"61",61,"95%","Apollo 13 (1995)",84
"62",62,"95%","Raiders of the Lost Ark (1981)",65
"63",63,"98%","One False Move (1992)",45
"64",64,"91%","Guardians of the Galaxy (2014)",259
"65",65,"95%","Wallace & Gromit: The Curse of the Were-Rabbit (2005)",176
"66",66,"98%","The Secret of Roan Inish (1995)",43
"67",67,"91%","X-Men: Days of Future Past (2014)",255
"68",68,"96%","Yellow Submarine (1968)",47
"69",69,"95%","Ran (1985)",65
"70",70,"95%","Hero (2004)",200
"71",71,"99%","The Twilight Samurai (Tasogare Seibei) (2004)",68
"72",72,"94%","Full Metal Jacket (1987)",72
"73",73,"93%","Saving Private Ryan (1998)",124
"74",74,"94%","The Town (2010)",213
"75",75,"93%","Superman (1978)",60
"76",76,"93%","Drive (2011)",235
"77",77,"91%","The Departed (2006)",262
"78",78,"95%","Enter the Dragon (1973)",44
"79",79,"94%","Three Kings (1999)",129
"80",80,"96%","Diva (1981)",45
"81",81,"96%","The Straight Story (1999)",89
"82",82,"90%","Dawn Of The Planet Of The Apes (2014)",257
"83",83,"93%","Mission: Impossible Ghost Protocol (2011)",227
"84",84,"95%","In the Line of Fire (1993)",65
"85",85,"92%","The Seventh Seal (Det Sjunde inseglet) (1957)",52
"86",86,"98%","Ten Canoes (2007)",62
"87",87,"88%","The Dark Knight Rises (2012)",309
"88",88,"92%","Source Code (2011)",243
"89",89,"96%","13 Assassins (2011)",117
"90",90,"98%","Mountain Patrol: Kekexili (2006)",49
"91",91,"98%","Blindsight (2006)",49
"92",92,"95%","Mad Max (1979)",43
"93",93,"92%","Fantastic Mr. Fox (2009)",225
"94",94,"96%","Supercop (1992)",46
"95",95,"90%","District 9 (2009)",276
"96",96,"89%","Captain America: The Winter Soldier (2014)",254
"97",97,"90%","A Most Violent Year (2015)",180
"98",98,"94%","Aladdin (1992)",66
"99",99,"91%","The Lord of the Rings: The Fellowship of the Ring (2001)",225
"100",100,"95%","Midnight Run (1988)",44
